learner_id,identifying_fractions,comparing_fractions,equivalent_fractions,adding_fractions
S001,95,92,88,85
S002,90,85,82,78
S003,88,84,80,76
S004,92,90,86,72
S005,85,83,81,80
S006,100,95,90,85
S007,80,80,80,80
S008,89,87,71,84
S009,75,68,62,55
S010,70,65,58,45
S011,66,60,54,38
S012,62,58,52,48
S013,59,53,47,42
S014,72,64,69,33
S015,80,74,68,60
S016,55,50,45,65
S017,68,72,61,57
S018,45,38,30,25
S019,52,44,36,28
S020,70,65,35,32
S021,40,35,30,20
S022,88,91,38,22
S023,48,42,39,33
S024,55,48,36,26
